"time","new.core.id","depth_bottom","sample.type","interval","pool_label","id","species","d15n","n_pct","d13c","c_pct","total_volume_cm3","depth_top","sample.type2","g_core"
"t4","DS01",NA,"dead leaf","above","dead leaf","DS01-dead leaf","DS",534.2755962,0.015594766,-15.03298392,0.294392156,NA,NA,"dead leaf",0.0697
"t4","DS01",NA,"decomp layer","above","decomp layer","DS01-decomp layer","DS",175.5706899,0.009531542,-16.26084771,0.176184567,NA,NA,"decomp layer",2.685
"t4","DS01",NA,"leaf 1","above","leaf 1","DS01-leaf 1","DS",5778.860114,0.027705117,-15.89005378,0.386222013,NA,NA,"leaf",0.0351
"t4","DS01",NA,"leaf 10","above","leaf 10","DS01-leaf 10","DS",6592.639824,0.024937296,-16.56905749,0.36913009,NA,NA,"leaf",0.0149
"t4","DS01",NA,"leaf 11","above","leaf 11","DS01-leaf 11","DS",5478.830152,0.016448369,-16.06458632,0.326260815,NA,NA,"leaf",0.0022
"t4","DS01",NA,"leaf 2","above","leaf 2","DS01-leaf 2","DS",5899.026344,0.024967957,-16.04111769,0.395434108,NA,NA,"leaf",0.101
"t4","DS01",NA,"leaf 3","above","leaf 3","DS01-leaf 3","DS",6161.25813,0.025285453,-16.08438952,0.385149516,NA,NA,"leaf",0.1313
"t4","DS01",NA,"leaf 4","above","leaf 4","DS01-leaf 4","DS",5546.048105,0.023730122,-16.19766154,0.323618108,NA,NA,"leaf",0.1145
"t4","DS01",NA,"leaf 5","above","leaf 5","DS01-leaf 5","DS",5371.553027,0.02224801,-16.12993031,0.340176198,NA,NA,"leaf",0.102
"t4","DS01",NA,"leaf 6","above","leaf 6","DS01-leaf 6","DS",3575.772899,0.022876121,-16.13060085,0.377179076,NA,NA,"leaf",0.0771
"t4","DS01",NA,"leaf 7","above","leaf 7","DS01-leaf 7","DS",3144.63468,0.021122304,-16.04568746,0.331074114,NA,NA,"leaf",0.066
"t4","DS01",NA,"leaf 8","above","leaf 8","DS01-leaf 8","DS",2392.46047,0.022472666,-16.51488812,0.351639667,NA,NA,"leaf",1.0444
"t4","DS01",NA,"leaf 9","above","leaf 9","DS01-leaf 9","DS",3446.532398,0.021776708,-16.30649231,0.378517828,NA,NA,"leaf",0.0322
"t4","DS01",NA,"microbe mat","above","microbe mat","DS01-microbe mat","DS",257.7603632,0.018776449,-17.97538292,0.213049526,NA,NA,"microbe mat",0.0625
"t4","DS01",NA,"standing dead","above","standing dead","DS01-standing dead","DS",55.06547731,0.01048781,-15.19353475,0.316856744,NA,NA,"standing dead",2.7088
"t4","DS01",NA,"stems","above","stems","DS01-stems","DS",3383.650801,0.011610128,-15.7482272,0.335966678,NA,NA,"stems",1.6917
"t0","DS13",2,"coarse roots","0_2","coarse roots 2cm","DS13-coarse roots 2cm","DS",5.271806094,0.01621,-14.75,0.36,157.08,0,"coarse roots",0.027
"t4","DS01",2,"coarse roots","0_2","coarse roots 2cm","DS01-coarse roots 2cm","DS",508.6539772,0.010396044,-14.8287596,0.335084293,157.08,0,"coarse roots",0.016
"t0","DS13",2,"dead biomass","0_2","dead biomass 2cm","DS13-dead biomass 2cm","DS",5.693826468,0.01176,-14.95,0.38,157.08,0,"dead biomass",2.2938
"t4","DS01",2,"dead biomass","0_2","dead biomass 2cm","DS01-dead biomass 2cm","DS",291.1768158,0.01229139,-15.68487577,0.348869409,157.08,0,"dead biomass",3.664
"t0","DS13",2,"fine roots","0_2","fine roots 2cm","DS13-fine roots 2cm","DS",6.439816619,0.02107,-14.45,0.38,157.08,0,"fine roots",0.0162
"t4","DS01",2,"fine roots","0_2","fine roots 2cm","DS01-fine roots 2cm","DS",3777.126793,0.015440626,-14.69425997,0.341262339,157.08,0,"fine roots",0.034
"t0","DS13",2,"rhizomes","0_2","rhizomes 2cm","DS13-rhizomes 2cm","DS",6.498137446,0.00968,-14.97,0.38,157.08,0,"rhizomes",0.607
"t4","DS01",2,"rhizomes","0_2","rhizomes 2cm","DS01-rhizomes 2cm","DS",1290.767866,0.010277492,-15.03261225,0.327363782,157.08,0,"rhizomes",0.622
"t0","DS13",5,"coarse roots","2_5","coarse roots 5cm","DS13-coarse roots 5cm","DS",5.942340127,0.01191,-14.63,0.37,235.619,2,"coarse roots",0.2288
"t4","DS01",5,"coarse roots","2_5","coarse roots 5cm","DS01-coarse roots 5cm","DS",3344.134688,0.010503708,-14.70982734,0.305072591,235.619,2,"coarse roots",0.192
"t0","DS13",5,"dead biomass","2_5","dead biomass 5cm","DS13-dead biomass 5cm","DS",5.643402214,0.01043,-14.56,0.38,235.619,2,"dead biomass",12.532
