site,samplingDate,status,height_cm,sample,spp
Colt State Park,20160519,LIVE,20.5,0.082,SPAL
Colt State Park,20160519,LIVE,20.3,0.074,SPAL
Colt State Park,20160519,LIVE,8.7,0.014,SPAL
Colt State Park,20160519,LIVE,16.7,0.044,SPAL
Colt State Park,20160519,LIVE,19.3,0.055,SPAL
Colt State Park,20160519,LIVE,11.9,0.023,SPAL
Colt State Park,20160519,LIVE,16.7,0.241,SPAL
Colt State Park,20160519,LIVE,19.3,0.055,SPAL
Colt State Park,20160519,LIVE,11.9,0.023,SPAL
Colt State Park,20160519,LIVE,26.7,0.241,SPAL
Colt State Park,20160519,LIVE,26.2,0.271,SPAL
Colt State Park,20160519,LIVE,7.1,0.012,SPAL
Colt State Park,20160519,LIVE,24,0.148,SPAL
Colt State Park,20160519,LIVE,18.7,0.068,SPAL
Colt State Park,20160519,LIVE,21.5,0.098,SPAL
Colt State Park,20160519,LIVE,13.8,0.032,SPAL
Colt State Park,20160519,LIVE,6.4,0.006,SPAL
Colt State Park,20160519,LIVE,6.5,0.043,DISP
Colt State Park,20160519,LIVE,10.1,0.037,DISP
Colt State Park,20160519,LIVE,7.8,0.046,DISP
Colt State Park,20160519,LIVE,4.6,0.012,DISP
Colt State Park,20160519,LIVE,11,0.059,DISP
Colt State Park,20160519,LIVE,11.8,0.064,DISP
Colt State Park,20160519,LIVE,15.2,0.081,DISP
Colt State Park,20160519,LIVE,9.5,0.024,DISP
Colt State Park,20160519,LIVE,12.8,0.07,DISP
Colt State Park,20160519,LIVE,13.8,0.09,DISP
Colt State Park,20160519,LIVE,3.2,0.007,DISP
Colt State Park,20160519,LIVE,15,0.088,DISP
Colt State Park,20160519,LIVE,4,0.009,DISP
Colt State Park,20160519,LIVE,2.4,0.006,DISP
Colt State Park,20160519,LIVE,26.5,0.077,SPAL
Colt State Park,20160610,LIVE,21.6,0.037,DISP
Colt State Park,20160610,LIVE,19,0.043,DISP
Colt State Park,20160610,LIVE,21.7,0.03,DISP
Colt State Park,20160610,LIVE,16.9,0.067,DISP
Colt State Park,20160610,LIVE,25.9,0.055,DISP
Colt State Park,20160610,LIVE,21.7,0.032,DISP
Colt State Park,20160610,LIVE,31.6,0.183,DISP
Colt State Park,20160610,LIVE,29.3,0.16,DISP
Colt State Park,20160610,LIVE,39.9,0.278,DISP
Colt State Park,20160610,LIVE,30.2,0.217,DISP
Colt State Park,20160610,LIVE,37.5,0.237,DISP
Colt State Park,20160727,LIVE,122.5,11.074,SPAL
Colt State Park,20160727,LIVE,38.9,0.711,SPAL
Colt State Park,20160727,LIVE,92,6.169,SPAL
Colt State Park,20160727,LIVE,106.5,8.457,SPAL
Colt State Park,20160727,LIVE,32.3,0.458,SPAL
Colt State Park,20160727,LIVE,53.8,2.659,SPAL
Colt State Park,20160727,LIVE,115.7,8.832,SPAL
Colt State Park,20160727,LIVE,62.8,5.727,SPAL
Colt State Park,20160727,LIVE,94.4,6.93,SPAL
Colt State Park,20160727,LIVE,102.7,8.098,SPAL
Colt State Park,20160727,LIVE,71.2,0.526,DISP
Colt State Park,20160727,LIVE,41.8,0.175,DISP
Colt State Park,20160727,LIVE,73.8,0.581,DISP
Colt State Park,20160727,LIVE,70.8,0.453,DISP
Colt State Park,20160727,LIVE,58.9,0.409,DISP
Colt State Park,20160727,LIVE,68.3,0.412,DISP
Colt State Park,20160727,LIVE,55.3,0.379,DISP
Colt State Park,20160727,LIVE,46.5,0.389,DISP
Colt State Park,20160727,LIVE,63,0.531,DISP
Colt State Park,20160727,LIVE,55.4,0.583,DISP
Colt State Park,20160727,LIVE,51.2,0.357,DISP
Colt State Park,20160727,LIVE,48.3,0.36,DISP
Colt State Park,20160727,LIVE,52.1,0.431,DISP
Colt State Park,20160727,LIVE,42.9,0.48,DISP
Colt State Park,20160727,LIVE,39.8,0.476,DISP
Colt State Park,20160727,LIVE,47.9,0.367,DISP
Colt State Park,20160727,LIVE,46.7,0.395,DISP
Colt State Park,20160727,LIVE,45.1,0.287,DISP
Colt State Park,20160727,LIVE,45.3,0.337,DISP
Colt State Park,20160727,LIVE,103.1,6.922,SPAL
Colt State Park,20160727,LIVE,63.1,2.757,SPAL
Colt State Park,20160727,LIVE,74.1,3.747,SPAL
Colt State Park,20160727,LIVE,45.1,1.015,SPAL
Colt State Park,20160727,LIVE,48,1.893,SPAL
Colt State Park,20160727,LIVE,44.5,1.249,SPAL
Colt State Park,20160727,LIVE,43.9,0.87,SPAL
Colt State Park,20160727,LIVE,52,1.405,SPAL
Colt State Park,20160727,LIVE,19.1,0.128,SPAL
Colt State Park,20160727,LIVE,24.6,0.229,SPAL
Colt State Park,20160727,LIVE,35.7,0.807,SPAL
Colt State Park,20160727,LIVE,3.1,0.01,SPAL
Colt State Park,20160727,LIVE,3.6,0.009,SPAL
Colt State Park,20160727,LIVE,30.4,0.448,SPAL
Colt State Park,20160727,LIVE,18.5,0.077,SPAL
Colt State Park,20160727,LIVE,5.5,0.031,SPAL
Colt State Park,20160727,LIVE,17.6,0.068,SPAL
Colt State Park,20160727,LIVE,27.5,0.34,SPAL
Colt State Park,20160727,LIVE,11.4,0.022,SPAL
Colt State Park,20160727,LIVE,23.9,0.191,SPAL
Colt State Park,20160727,LIVE,5.4,0.018,SPAL
Colt State Park,20160727,LIVE,27.5,0.306,SPAL
Colt State Park,20160727,LIVE,27.1,0.262,SPAL
Colt State Park,20160727,LIVE,29.8,0.356,SPAL
Colt State Park,20160727,LIVE,31.6,0.478,SPAL
Colt State Park,20160727,LIVE,30.6,0.49,SPAL
Colt State Park,20160727,LIVE,26.5,0.234,SPAL
Colt State Park,20160727,LIVE,27.6,0.405,SPAL
Colt State Park,20160727,LIVE,23.2,0.144,SPAL
Colt State Park,20160727,LIVE,24.7,0.111,SPAL
Colt State Park,20160727,LIVE,18.2,0.024,SPAL
Colt State Park,20160727,LIVE,17,0.081,SPAL
Colt State Park,20160727,LIVE,18.7,0.11,SPAL
Colt State Park,20160727,LIVE,22.2,0.15,SPAL
Colt State Park,20160727,LIVE,27.1,0.254,SPAL
Colt State Park,20160727,LIVE,24.5,0.329,SPAL
Colt State Park,20160727,LIVE,25.6,0.286,SPAL
Colt State Park,20160727,LIVE,26.5,0.288,SPAL
Colt State Park,20160727,LIVE,14.3,0.041,SPAL
Colt State Park,20160727,LIVE,12.6,0.043,SPAL
Colt State Park,20160727,LIVE,9.9,0.016,SPAL
Colt State Park,20160727,LIVE,8.8,0.046,SPAL
Colt State Park,20160727,LIVE,31.8,0.291,DISP
Colt State Park,20160727,LIVE,34.2,0.336,DISP
Colt State Park,20160727,LIVE,29.3,0.227,DISP
Colt State Park,20160727,LIVE,25.6,0.116,DISP
Colt State Park,20160727,LIVE,31.1,0.266,DISP
Colt State Park,20160727,LIVE,28.4,0.183,DISP
Colt State Park,20160727,LIVE,19.5,0.087,DISP
Colt State Park,20160727,LIVE,34.7,0.267,DISP
Colt State Park,20160727,LIVE,33.7,0.265,DISP
Colt State Park,20160727,LIVE,26.1,0.199,DISP
Colt State Park,20160727,LIVE,33.9,0.257,DISP
Colt State Park,20160727,LIVE,12.2,0.028,DISP
Colt State Park,20160727,LIVE,5.7,0.023,DISP
Colt State Park,20160727,LIVE,37.5,0.405,DISP
Colt State Park,20160727,LIVE,28.9,0.202,DISP
Colt State Park,20160727,LIVE,32.9,0.228,DISP
Colt State Park,20160727,LIVE,32.3,0.251,DISP
Colt State Park,20160727,LIVE,31.5,0.366,DISP
Colt State Park,20160727,LIVE,13.3,0.041,DISP
Colt State Park,20160727,LIVE,26.6,0.149,DISP
Colt State Park,20160727,LIVE,29.5,0.234,DISP
Colt State Park,20160727,LIVE,19.4,0.113,DISP
Colt State Park,20160727,LIVE,27.4,0.193,DISP
Colt State Park,20160727,LIVE,22.3,0.088,DISP
Colt State Park,20160727,LIVE,31,0.29,DISP
Colt State Park,20160727,LIVE,28.1,0.152,DISP
Colt State Park,20160727,LIVE,26.9,0.271,DISP
Colt State Park,20160727,LIVE,20.6,0.133,DISP
Colt State Park,20160727,LIVE,21.2,0.1,DISP
Colt State Park,20160727,LIVE,19.5,0.074,DISP
Colt State Park,20160727,LIVE,33.6,0.354,DISP
Colt State Park,20160727,LIVE,29.1,0.151,DISP
Colt State Park,20160727,LIVE,7.2,0.053,DISP
Colt State Park,20160727,LIVE,5.7,0.021,DISP
Colt State Park,20160727,LIVE,11.1,0.027,DISP
Colt State Park,20160727,LIVE,6,0.028,DISP
Colt State Park,20160727,LIVE,28.4,0.207,DISP
Colt State Park,20160727,LIVE,22.9,0.122,DISP
Colt State Park,20160727,LIVE,27.5,0.179,DISP
Colt State Park,20160727,LIVE,5.8,0.051,DISP
Colt State Park,20160727,LIVE,15.9,0.052,DISP
Colt State Park,20160727,LIVE,25.7,0.151,DISP
Colt State Park,20160727,LIVE,8.6,0.033,DISP
Colt State Park,20160727,LIVE,17,0.06,DISP
Colt State Park,20160727,LIVE,32.7,0.334,DISP
Colt State Park,20160727,LIVE,24.3,0.123,DISP
Colt State Park,20160727,LIVE,22,0.094,DISP
Colt State Park,20160727,LIVE,21,0.07,DISP
Colt State Park,20160727,LIVE,6.1,0.019,DISP
Colt State Park,20160727,LIVE,29.4,0.183,DISP
Colt State Park,20160727,LIVE,25.4,0.183,DISP
